"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BZ1","Buzzer","~","","1",""
"C2,C7,C11,C12","20pF","~","","4",""
"C3,C5,C8","100nf","~","","3",""
"C4","100uF","~","","1",""
"C6","10uF","~","","1",""
"C9,C10","100nF","~","","2",""
"D1","LED_RGB","~","","1",""
"D2,D5","TVS 5.0","~","","2",""
"D3","LED_Red","~","","1",""
"D4","B5819W","~","","1",""
"F1","1A","~","","1",""
"IC1","MC3479","http://www.memsic.com/uploadfiles/2020/08/20200827164636363.pdf","MC3479","1",""
"J1","Conn_01x04","~","","1",""
"J2","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","1",""
"J4","Conn_01x05","~","","1",""
"J5,J8","Conn_01x08","~","","2",""
"J6","Conn_01x06","~","","1",""
"J7","Conn_01x10","~","","1",""
"J9,J11","Conn_02x18","~","-- mixed values --","2",""
"JP1,JP2,JP3,JP4,JP8,JP9","2_Open","~","TestPoint:TestPoint_2Pads_Pitch5.08mm_Drill1.3mm","6",""
"JP10","~","~","TestPoint:TestPoint_2Pads_Pitch5.08mm_Drill1.3mm","1",""
"Q3","2N7002H","http://www.diodes.com/assets/Datasheets/2N7002H.pdf","Package_TO_SOT_SMD:SOT-23","1",""
"R1,R2,R3","1K","~","","3",""
"R4,R5","1k","~","","2",""
"R6,R21","100","~","","2",""
"R7,R9,R10,R13,R14","4.7k","~","","5",""
"R8","1M","~","","1",""
"R11,R12","0","~","","2",""
"R20","100K","~","","1",""
"SW3,SW4","SW_MEC_5E","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371","","2",""
"U2","TLV70233_SOT23-5","http://www.ti.com/lit/ds/symlink/tlv702.pdf","Package_TO_SOT_SMD:SOT-23-5","1",""
"U3","STM32G070KBTx","https://www.st.com/resource/en/datasheet/stm32g070kb.pdf","Package_QFP:LQFP-32_7x7mm_P0.8mm","1",""
"Y1","32.768Khz","~","","1",""
"Y2","8Mhz","~","","1",""
